ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa05224,Breast cancer,25/78,148/9522,6.49E-27,1.31E-24,4.23E-25,7157/5290/4609/595/5728/2064/2260/5925/207/3480/675/5295/1956/3845/2099/1021/4853/208/672/8312/4851/324/4893/673/3265,25
hsa01522,Endocrine resistance,22/78,99/9522,1.77E-26,1.79E-24,5.78E-25,7157/5290/595/2064/5925/1029/207/4193/9611/3480/5295/1956/3845/2099/4853/208/1027/2778/4851/4893/673/3265,22
hsa05218,Melanoma,20/78,73/9522,4.13E-26,2.78E-24,8.98E-25,7157/5290/595/5728/2260/5925/999/1029/207/4193/3480/5295/1956/3845/1021/208/5156/4893/673/3265,20
hsa05215,Prostate cancer,22/78,106/9522,9.16E-26,4.62E-24,1.49E-24,7157/5290/595/5728/2064/2260/5925/207/4193/898/3480/5295/1956/3845/208/1387/5156/2263/1027/4893/673/3265,22
hsa05213,Endometrial cancer,18/78,59/9522,1.69E-24,6.83E-23,2.21E-23,7157/5290/4609/595/5728/2064/999/207/5295/1956/3845/208/8312/4292/324/4893/673/3265,18
hsa05225,Hepatocellular carcinoma,24/78,170/9522,7.29E-24,2.45E-22,7.93E-23,7157/5290/4609/595/5728/5925/57492/1029/207/8289/3480/5295/1956/3845/1021/208/4089/8312/6597/324/4893/55193/673/3265,24
hsa05226,Gastric cancer,23/78,150/9522,1.02E-23,2.94E-22,9.49E-23,7157/5290/4609/595/2064/5925/999/207/898/1030/5295/1956/3845/208/2263/4089/8312/1027/4292/324/4893/673/3265,23
hsa05214,Glioma,18/78,76/9522,2.95E-22,7.45E-21,2.41E-21,7157/5290/595/5728/5925/1029/207/4193/3480/5295/1956/3845/1021/208/5156/4893/673/3265,18
hsa05220,Chronic myeloid leukemia,18/78,77/9522,3.83E-22,8.60E-21,2.78E-21,7157/5290/4609/595/5925/1029/207/4193/5295/3845/1021/208/861/4089/1027/4893/673/3265,18
hsa05210,Colorectal cancer,18/78,87/9522,4.24E-21,8.57E-20,2.77E-20,7157/5290/4609/595/207/5295/1956/3845/208/387/4089/8312/4292/324/4436/4893/673/3265,18
hsa05206,MicroRNAs in cancer,27/78,320/9522,7.86E-21,1.44E-19,4.67E-20,7157/5290/4609/595/5728/2064/1029/4193/898/5295/1956/3845/1021/4853/672/1387/1788/27086/5156/2065/387/472/1027/4851/324/4893/3265,27
hsa04218,Cellular senescence,21/78,157/9522,2.28E-20,3.85E-19,1.24E-19,7157/5290/4609/595/5728/5925/1029/207/896/4193/898/1030/5295/3845/1021/208/545/472/677/4893/3265,21
hsa05166,Human T-cell leukemia virus 1 infection,23/78,224/9522,1.25E-19,1.94E-18,6.27E-19,7157/5290/4609/595/5728/5925/4214/6416/1029/207/896/898/1030/5295/3845/208/1387/545/4089/472/4893/701/3265,23
hsa05165,Human papillomavirus infection,26/78,333/9522,3.49E-19,5.04E-18,1.63E-18,7157/5290/595/5728/5925/207/896/4193/898/5295/1956/3845/1021/4853/208/1387/545/472/8312/1027/2778/4851/324/841/4893/3265,26
hsa04068,FoxO signaling pathway,19/78,133/9522,5.15E-19,6.93E-18,2.24E-18,5290/595/5728/207/4193/1030/3480/5295/1956/3845/208/1387/4089/472/1027/4893/6794/673/3265,19
hsa01521,EGFR tyrosine kinase inhibitor resistance,16/78,80/9522,1.45E-18,1.83E-17,5.91E-18,5290/5728/2064/207/3480/4763/5295/1956/3845/208/5156/2065/2263/4893/673/3265,16
hsa05219,Bladder cancer,13/78,41/9522,3.86E-18,4.58E-17,1.48E-17,7157/4609/595/2064/5925/999/1029/4193/1956/3845/4893/673/3265,13
hsa05230,Central carbon metabolism in cancer,15/78,71/9522,7.76E-18,8.71E-17,2.81E-17,7157/5290/4609/5728/2064/2260/207/5295/1956/3845/208/5156/2263/4893/3265,15
hsa05223,Non-small cell lung cancer,15/78,73/9522,1.22E-17,1.30E-16,4.19E-17,7157/5290/595/2064/5925/1029/207/5295/1956/3845/1021/208/4893/673/3265,15
hsa05212,Pancreatic cancer,15/78,77/9522,2.88E-17,2.91E-16,9.41E-17,7157/5290/595/2064/5925/1029/207/675/5295/1956/3845/1021/208/4089/673,15
hsa04151,PI3K-Akt signaling pathway,25/78,362/9522,3.78E-17,3.63E-16,1.17E-16,7157/5290/4609/595/5728/2064/2260/207/896/4193/898/3480/5295/1956/3845/1021/208/672/5156/2065/2263/1027/4893/6794/3265,25
hsa04012,ErbB signaling pathway,15/78,86/9522,1.68E-16,1.55E-15,4.99E-16,5290/4609/2064/6416/207/5295/1956/3845/208/2065/1027/868/4893/673/3265,15
hsa04110,Cell cycle,18/78,158/9522,3.09E-16,2.71E-15,8.76E-16,7157/4609/595/5925/1029/896/4193/898/1030/1021/1387/545/4089/472/546/1027/10735/701,18
hsa04919,Thyroid hormone signaling pathway,16/78,122/9522,1.71E-15,1.44E-14,4.64E-15,7157/5290/4609/595/207/4193/9611/5295/3845/2099/4853/208/1387/4851/4893/3265,16
hsa05205,Proteoglycans in cancer,19/78,204/9522,1.85E-15,1.49E-14,4.83E-15,7157/5290/4609/595/2064/2260/207/4193/3480/5295/1956/3845/2099/208/2065/387/4893/673/3265,19
hsa05161,Hepatitis B,17/78,163/9522,1.02E-14,7.94E-14,2.57E-14,7157/5290/4609/5925/4214/6416/207/898/5295/3845/208/1387/4089/841/4893/673/3265,17
hsa05163,Human cytomegalovirus infection,19/78,227/9522,1.34E-14,1.00E-13,3.24E-14,7157/5290/4609/595/5925/1029/207/4193/5295/1956/3845/1021/208/5156/387/2778/841/4893/3265,19
hsa01524,Platinum drug resistance,13/78,75/9522,2.23E-14,1.61E-13,5.20E-14,7157/5290/2064/1029/207/4193/5295/208/672/472/4292/841/4436,13
hsa05203,Viral carcinogenesis,18/78,205/9522,3.19E-14,2.22E-13,7.19E-14,7157/5290/595/5925/1029/896/4193/898/1030/5295/3845/1021/1387/387/1027/841/4893/3265,18
hsa05222,Small cell lung cancer,13/78,93/9522,4.08E-13,2.74E-12,8.87E-13,7157/5290/4609/595/5728/5925/207/898/1030/5295/1021/208/1027,13
hsa04550,Signaling pathways regulating pluripotency of stem cells,15/78,144/9522,4.58E-13,2.98E-12,9.64E-13,5290/4609/2260/207/6926/3480/5295/3845/208/2263/4089/8312/324/4893/3265,15
hsa05160,Hepatitis C,15/78,156/9522,1.50E-12,9.46E-12,3.06E-12,7157/5290/4609/595/5925/207/5295/1956/3845/1021/208/841/4893/673/3265,15
hsa05221,Acute myeloid leukemia,Nov-78,68/9522,5.67E-12,3.47E-11,1.12E-11,5290/4609/595/207/5295/3845/208/861/4893/673/3265,11
hsa04015,Rap1 signaling pathway,16/78,212/9522,1.05E-11,6.26E-11,2.02E-11,5290/2260/999/207/3480/5295/1956/3845/208/5156/2263/387/2778/4893/673/3265,16
hsa04115,p53 signaling pathway,Nov-78,75/9522,1.73E-11,9.99E-11,3.23E-11,7157/595/5728/1029/896/4193/898/1021/545/472/841,11
hsa04010,MAPK signaling pathway,18/78,300/9522,2.17E-11,1.22E-10,3.93E-11,7157/4609/2064/2260/4214/6416/207/3480/4763/1956/3845/208/5156/2065/2263/4893/673/3265,18
hsa05167,Kaposi sarcoma-associated herpesvirus infection,15/78,196/9522,4.13E-11,2.26E-10,7.29E-11,7157/5290/4609/595/5925/6416/207/5295/3845/1021/208/1387/841/4893/3265,15
hsa05169,Epstein-Barr virus infection,15/78,205/9522,7.85E-11,4.17E-10,1.35E-10,7157/5290/4609/595/5925/6416/207/896/4193/898/5295/1021/208/1027/841,15
hsa05207,Chemical carcinogenesis - receptor activation,15/78,217/9522,1.76E-10,9.11E-10,2.94E-10,5290/4609/595/5925/207/896/5295/1956/3845/2099/4853/208/2778/4893/3265,15
hsa04934,Cushing syndrome,13/78,155/9522,3.01E-10,1.52E-09,4.91E-10,595/5925/1029/898/1030/1956/1021/8312/1027/2778/324/4221/673,13
hsa05216,Thyroid cancer,Aug-78,37/9522,4.48E-10,2.21E-09,7.13E-10,7157/4609/595/999/3845/4893/673/3265,8
hsa04625,C-type lectin receptor signaling pathway,Nov-78,105/9522,7.24E-10,3.48E-09,1.13E-09,5290/207/4193/5295/3845/208/387/841/868/4893/3265,11
hsa04510,Focal adhesion,14/78,203/9522,7.89E-10,3.71E-09,1.20E-09,5290/595/5728/2064/207/896/3480/5295/1956/208/5156/387/673/3265,14
hsa05162,Measles,Dec-78,136/9522,8.59E-10,3.95E-09,1.27E-09,7157/5290/595/207/896/898/5295/1021/208/1027/841/868,12
hsa04211,Longevity regulating pathway,Oct-78,90/9522,2.54E-09,1.14E-08,3.68E-09,7157/5290/207/3480/5295/3845/208/4893/6794/3265,10
hsa04722,Neurotrophin signaling pathway,Nov-78,120/9522,3.06E-09,1.34E-08,4.34E-09,7157/5290/4214/207/5295/3845/208/387/4893/673/3265,11
hsa04935,"Growth hormone synthesis, secretion and action",Nov-78,122/9522,3.65E-09,1.57E-08,5.07E-09,5290/4214/6416/207/5295/3845/208/1387/2778/4893/3265,11
hsa05211,Renal cell carcinoma,Sep-78,70/9522,4.50E-09,1.86E-08,6.01E-09,5290/207/5295/3845/208/1387/4893/673/3265,9
hsa04810,Regulation of actin cytoskeleton,14/78,232/9522,4.51E-09,1.86E-08,6.01E-09,5290/2260/207/5295/1956/3845/208/5156/2263/387/324/4893/673/3265,14
hsa04150,mTOR signaling pathway,Dec-78,158/9522,4.84E-09,1.95E-08,6.32E-09,5290/5728/207/3480/5295/3845/208/387/4893/6794/673/3265,12
hsa04917,Prolactin signaling pathway,Sep-78,71/9522,5.12E-09,2.03E-08,6.55E-09,5290/595/207/5295/3845/2099/208/4893/3265,9
hsa04014,Ras signaling pathway,14/78,238/9522,6.27E-09,2.43E-08,7.87E-09,5290/2260/207/3480/4763/5295/1956/3845/208/5156/2263/387/4893/3265,14
hsa04933,AGE-RAGE signaling pathway in diabetic complications,Oct-78,101/9522,7.94E-09,3.03E-08,9.78E-09,5290/595/207/5295/3845/208/4089/1027/4893/3265,10
hsa04072,Phospholipase D signaling pathway,Nov-78,149/9522,3.01E-08,1.13E-07,3.64E-08,5290/207/5295/1956/3845/208/5156/387/2778/4893/3265,11
hsa04213,Longevity regulating pathway - multiple species,Aug-78,62/9522,3.33E-08,1.22E-07,3.95E-08,5290/207/3480/5295/3845/208/4893/3265,8
hsa04518,Integrin signaling,Nov-78,154/9522,4.24E-08,1.52E-07,4.91E-08,5290/595/2064/999/207/896/3480/5295/1956/208/5156,11
hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,Sep-78,90/9522,4.29E-08,1.52E-07,4.91E-08,5290/5728/207/5295/1956/3845/208/4893/3265,9
hsa04071,Sphingolipid signaling pathway,Oct-78,125/9522,6.26E-08,2.18E-07,7.05E-08,7157/5290/5728/207/5295/3845/208/387/4893/3265,10
hsa04664,Fc epsilon RI signaling pathway,Aug-78,69/9522,7.86E-08,2.69E-07,8.70E-08,5290/6416/207/5295/3845/208/4893/3265,8
hsa04926,Relaxin signaling pathway,Oct-78,130/9522,9.10E-08,3.07E-07,9.90E-08,5290/6416/207/5295/1956/3845/208/2778/4893/3265,10
hsa05231,Choline metabolism in cancer,Sep-78,99/9522,9.90E-08,3.28E-07,1.06E-07,5290/207/5295/1956/3845/208/5156/4893/3265,9
hsa04630,JAK-STAT signaling pathway,Nov-78,168/9522,1.04E-07,3.39E-07,1.10E-07,5290/4609/595/207/896/5295/1956/208/1387/5156/3265,11
hsa04210,Apoptosis,Oct-78,137/9522,1.50E-07,4.80E-07,1.55E-07,7157/5290/207/5295/3845/208/472/841/4893/3265,10
hsa05417,Lipid and atherosclerosis,Dec-78,216/9522,1.59E-07,5.02E-07,1.62E-07,7157/5290/6416/207/5295/3845/208/7494/387/841/4893/3265,12
hsa04915,Estrogen signaling pathway,Oct-78,139/9522,1.72E-07,5.33E-07,1.72E-07,5290/207/5295/1956/3845/2099/208/2778/4893/3265,10
hsa04066,HIF-1 signaling pathway,Sep-78,110/9522,2.47E-07,7.56E-07,2.44E-07,5290/2064/207/3480/5295/1956/208/1387/1027,9
hsa03460,Fanconi anemia pathway,Jul-78,55/9522,2.79E-07,8.40E-07,2.71E-07,675/672/545/79728/4292/5395/2072,7
hsa04370,VEGF signaling pathway,Jul-78,60/9522,5.13E-07,1.52E-06,4.93E-07,5290/207/5295/3845/208/4893/3265,7
hsa04660,T cell receptor signaling pathway,Sep-78,122/9522,6.00E-07,1.76E-06,5.68E-07,5290/207/5295/3845/208/387/868/4893/3265,9
hsa04520,Adherens junction,Aug-78,93/9522,8.18E-07,2.36E-06,7.63E-07,2064/2260/999/3480/1956/1387/387/4089,8
hsa04929,GnRH secretion,Jul-78,65/9522,8.95E-07,2.55E-06,8.23E-07,5290/207/5295/3845/208/4893/3265,7
hsa04140,Autophagy - animal,Oct-78,169/9522,1.06E-06,2.96E-06,9.58E-07,5290/5728/207/3480/5295/3845/208/4893/6794/3265,10
hsa04910,Insulin signaling pathway,Sep-78,138/9522,1.70E-06,4.70E-06,1.52E-06,5290/207/5295/3845/208/868/4893/673/3265,9
hsa05208,Chemical carcinogenesis - reactive oxygen species,Nov-78,227/9522,2.12E-06,5.78E-06,1.87E-06,5290/5728/6416/207/5295/1956/3845/208/4893/673/3265,11
hsa05202,Transcriptional misregulation in cancer,Oct-78,201/9522,5.07E-06,1.37E-05,4.41E-06,7157/4609/4193/9611/3480/7403/861/472/1027/4221,10
hsa04730,Long-term depression,Jun-78,60/9522,8.76E-06,2.29E-05,7.39E-06,3480/3845/2778/4893/673/3265,6
hsa04662,B cell receptor signaling pathway,Jul-78,91/9522,8.78E-06,2.29E-05,7.39E-06,5290/207/5295/3845/208/4893/3265,7
hsa05170,Human immunodeficiency virus 1 infection,Oct-78,214/9522,8.83E-06,2.29E-05,7.39E-06,5290/207/5295/3845/208/545/472/841/4893/3265,10
hsa04912,GnRH signaling pathway,Jul-78,93/9522,1.01E-05,2.59E-05,8.38E-06,4214/6416/1956/3845/2778/4893/3265,7
hsa04310,Wnt signaling pathway,Sep-78,174/9522,1.14E-05,2.88E-05,9.31E-06,7157/4609/595/896/1387/387/4089/8312/324,9
hsa04371,Apelin signaling pathway,Aug-78,140/9522,1.76E-05,4.39E-05,1.42E-05,595/999/207/3845/208/4089/4893/3265,8
hsa05142,Chagas disease,Jul-78,103/9522,1.99E-05,4.90E-05,1.58E-05,5290/6416/207/5295/208/2778/841,7
hsa04062,Chemokine signaling pathway,Sep-78,193/9522,2.61E-05,6.36E-05,2.06E-05,5290/207/5295/3845/208/387/4893/673/3265,9
hsa04914,Progesterone-mediated oocyte maturation,Jul-78,111/9522,3.23E-05,7.77E-05,2.51E-05,5290/207/3480/5295/3845/208/673,7
hsa04725,Cholinergic synapse,Jul-78,116/9522,4.30E-05,0.000102087,3.30E-05,5290/207/5295/3845/208/4893/3265,7
hsa04152,AMPK signaling pathway,Jul-78,122/9522,5.93E-05,0.000139376,4.50E-05,5290/595/207/3480/5295/208/6794,7
hsa05010,Alzheimer disease,Dec-78,391/9522,7.23E-05,0.000167981,5.43E-05,5290/207/5295/3845/208/7494/8312/324/841/4893/673/3265,12
hsa05164,Influenza A,Aug-78,173/9522,8.02E-05,0.000184091,5.95E-05,5290/207/896/5295/1021/208/1387/841,8
hsa04540,Gap junction,Jun-78,92/9522,0.000101385,0.000230109,7.43E-05,1956/3845/5156/2778/4893/3265,6
hsa04923,Regulation of lipolysis in adipocytes,May-78,59/9522,0.000114826,0.000257721,8.33E-05,5290/207/5295/208/2778,5
hsa05418,Fluid shear stress and atherosclerosis,Jul-78,142/9522,0.000154517,0.000342994,0.000110816,7157/5290/6416/207/5295/208/387,7
hsa04720,Long-term potentiation,May-78,67/9522,0.000210494,0.000457743,0.00014789,3845/1387/4893/673/3265,5
hsa05131,Shigellosis,Sep-78,253/9522,0.000210743,0.000457743,0.00014789,7157/5290/207/4193/5295/1956/208/387/472,9
hsa04620,Toll-like receptor signaling pathway,Jun-78,109/9522,0.000257918,0.000554248,0.000179069,5290/6416/207/5295/208/841,6
hsa04921,Oxytocin signaling pathway,Jul-78,155/9522,0.000265439,0.000564406,0.000182351,595/1956/3845/387/2778/4893/3265,7
hsa04350,TGF-beta signaling pathway,Jun-78,110/9522,0.000271038,0.00057031,0.000184259,4609/1030/9611/1387/387/4089,6
hsa04390,Hippo signaling pathway,Jul-78,157/9522,0.000287105,0.000597889,0.000193169,4609/595/999/896/4089/8312/324,7
hsa03440,Homologous recombination,Apr-78,41/9522,0.000335249,0.000691024,0.00022326,675/672/79728/472,4
hsa04928,"Parathyroid hormone synthesis, secretion and action",Jun-78,115/9522,0.00034473,0.000703389,0.000227254,2260/2625/1956/387/2778/673,6
hsa04081,Hormone signaling,Aug-78,219/9522,0.000404954,0.000818007,0.000264286,5290/3480/5295/2099/387/4089/2778/6794,8
hsa04668,TNF signaling pathway,Jun-78,119/9522,0.000414294,0.000828587,0.000267704,5290/6416/207/5295/208/841,6
hsa04024,cAMP signaling pathway,Aug-78,226/9522,0.000499502,0.00098921,0.000319599,5290/207/5295/208/1387/387/2778/673,8
hsa04611,Platelet activation,Jun-78,126/9522,0.000562001,0.001102177,0.000356097,5290/207/5295/208/387/2778,6
hsa04714,Thermogenesis,Aug-78,235/9522,0.000646669,0.001256031,0.000405805,2260/57492/8289/3845/2778/6597/4893/3265,8
hsa04650,Natural killer cell mediated cytotoxicity,Jun-78,134/9522,0.000777815,0.001496369,0.000483454,5290/5295/3845/4893/673/3265,6
hsa03430,Mismatch repair,Mar-78,23/9522,0.000832235,0.001580544,0.00051065,4292/4436/5395,3
hsa04973,Carbohydrate digestion and absorption,Apr-78,52/9522,0.000837219,0.001580544,0.00051065,5290/207/5295/208,4
hsa05135,Yersinia infection,Jun-78,138/9522,0.000907307,0.001697,0.000548275,5290/6416/207/5295/208/387,6
hsa05132,Salmonella infection,Aug-78,251/9522,0.000993874,0.001841859,0.000595077,5290/4609/6416/207/208/387/841/3265,8
hsa04144,Endocytosis,Aug-78,252/9522,0.001019752,0.001872636,0.000605021,4193/3480/1956/5156/2263/387/868/3265,8
hsa05017,Spinocerebellar ataxia,Jun-78,144/9522,0.001132026,0.002060083,0.000665582,5290/207/5295/208/7494/23152,6
hsa04916,Melanogenesis,May-78,101/9522,0.001390745,0.002508309,0.000810397,3845/1387/2778/4893/3265,5
hsa04330,Notch signaling pathway,Apr-78,62/9522,0.00162178,0.002899111,0.000936659,23013/4853/1387/4851,4
hsa04932,Non-alcoholic fatty liver disease,Jun-78,157/9522,0.001764035,0.003125746,0.001009881,5290/207/5295/208/7494/841,6
hsa04931,Insulin resistance,May-78,109/9522,0.001949786,0.003424841,0.001106515,5290/5728/207/5295/208,5
hsa04726,Serotonergic synapse,May-78,115/9522,0.002465859,0.004293996,0.001387325,3845/2778/4893/673/3265,5
hsa04530,Tight junction,Jun-78,170/9522,0.002634362,0.004548215,0.00146946,595/2064/4214/861/387/6794,6
hsa03082,ATP-dependent chromatin remodeling,May-78,117/9522,0.002658092,0.004550294,0.001470131,57492/8289/84295/6597/55193,5
hsa05168,Herpes simplex virus 1 infection,Jun-78,180/9522,0.003498158,0.005938049,0.001918494,7157/5290/207/5295/208/841,6
hsa04960,Aldosterone-regulated sodium reabsorption,Mar-78,38/9522,0.003629865,0.006110273,0.001974137,5290/5295/3845,3
hsa05100,Bacterial invasion of epithelial cells,Apr-78,78/9522,0.00375759,0.006273002,0.002026712,5290/999/5295/387,4
hsa04360,Axon guidance,Jun-78,184/9522,0.003897088,0.006452556,0.002084724,5290/5295/3845/387/4893/3265,6
hsa04020,Calcium signaling pathway,Jul-78,254/9522,0.004665183,0.007661521,0.002475322,2064/2260/1956/5156/2065/2263/2778,7
hsa04120,Ubiquitin mediated proteolysis,May-78,142/9522,0.006069295,0.009887077,0.003194366,4214/55294/4193/672/868,5
hsa04936,Alcoholic liver disease,May-78,144/9522,0.006433723,0.010396896,0.00335908,595/6416/207/208/841,5
hsa04666,Fc gamma R-mediated phagocytosis,Apr-78,99/9522,0.008717165,0.013975138,0.004515157,5290/207/5295/208,4
hsa04137,Mitophagy - animal,Apr-78,105/9522,0.010670501,0.016971978,0.00548339,7157/3845/4893/3265,4
hsa04922,Glucagon signaling pathway,Apr-78,107/9522,0.011379585,0.017958408,0.005802091,207/208/1387/2778,4
hsa04517,IgSF CAM signaling,Jul-78,302/9522,0.011631305,0.018213361,0.005884463,5290/2260/999/207/5295/208/387,7
hsa05217,Basal cell carcinoma,Mar-78,63/9522,0.01476767,0.022946688,0.007413729,7157/8312/324,3
hsa05152,Tuberculosis,May-78,182/9522,0.016580674,0.025567146,0.00826036,207/208/1387/387/841,5
hsa04920,Adipocytokine signaling pathway,Mar-78,70/9522,0.019546455,0.029911999,0.009664116,207/208/6794,3
hsa05034,Alcoholism,May-78,191/9522,0.02000116,0.030377702,0.009814578,3845/2778/4893/673/3265,5
hsa05415,Diabetic cardiomyopathy,May-78,205/9522,0.026193624,0.039485911,0.012757303,5290/5728/207/5295/208,5
hsa04380,Osteoclast differentiation,Apr-78,143/9522,0.029581382,0.044262512,0.014300551,5290/207/5295/208,4
hsa03083,Polycomb repressive complex,Mar-78,83/9522,0.030433593,0.045202837,0.014604356,1387/54880/171023,3
